comment_text,label
"I know the people of Nagaland

And Meghalaya hates bjp

But it is the truth

2 seats lok sabha of those 2 states can not stop bjp

Assam and arunachal does matter

But these states are becoming bjp fortresses day by day
Including Manipur

Tripura

And sikkim",NAG
"Modi ji, all the Pain & nö Real Gain.",CAG
"Devils with BJP. All political parties are corrupt and I do not like anyone. They are there to make money to whoever you vote. But support the Naxalites who kill our soldiers, take sides with the JNU students who shout ""Bharat ke tukde Katenge"" and Afzhal Guru tere Katil jinda hai and very recently ""there is nothing wrong with singing Pakistan zhindabad"" is attributed to him to this man. Therefore, it is decidedly anti-national.",CAG
Mobbing the poor girl ... Instead of helping her ... Jump to conclusions ... impulsive,OAG
"oh ... I understand ... he's saying 'I fuck you down, for making me do this'!",OAG
"udhav tiene bjp su lugar, bravo shivsena",CAG
"Inerable atory. Some time ago, India wrongly claimed surgical attacks in Pakistan and now demanded a surgical strike by Pakistan. Again wrong.",CAG
"please, advise on Bank nifty and how the NPA will benefit the PSU banks.",NAG
Please share your opinion about the life of Astec? Bought at 675,NAG
We should use the doctrine of defensive offensive strategy. Learn lessons from Israel ... and give a free hand to the security forces and covert missions inside the pak to bleed Pakistan.,NAG
"Tollywood Parbhas Die Heart Fans Where is Parbhas performing in Bahubali 2 ahBahubali 2 is cartoon graphic movie Do not compare Indian cinema Bollywood films Performance of Khan Aamir, Salman and Shahrukh",CAG
"It is a shame shame and then these humble and educated civilizations of Pakistan claim that the Pakistani army is a professional soldier ... It is true that they are professionals, but they are professional terrorists ... Certainly not soldiers ... Not only India and India , but also India. The global world now understands them and recognizes them as professional terrorists.",OAG
"India must prevent Pakistani soldiers from crossing the LOC and sneaking into India at all costs. For that purpose we should use bullets liberally. At the same time, India should also impose a trade embargo on Pakistan and urge and persuade the United States and other powerful nations to introduce economic sanctions against Pakistan for an indefinite period. Then only this terrorist state would be kneeling.",NAG
"Haram - Pig
Pig - scavengers
Scavengers - Come dead
Dead Damage - Mutilation
Mutilation - Pakistan
Pakistan - Pig",OAG
"On the other hand, Reliance Jio is giving for 3k - 3 months subscription to unlimited calls (STD, Roaming), 4G unlimited (this means 4G real speed). Oh, and wait, they extended this 3 month plan to 4 for the first clients.
Airtel has to lower its 4G / 3G rates. For 1599 only 5GB of internet? : |",NAG
Mistry has to support Tata Sons wrongdoing: Tata Counsel,NAG
What is the opinion on the energy of Suzlon in view of the purchase of Canadian solar energy?,NAG
Baba always wants to encastrate the emotional atmosphere. It lost its brightness drastically.,NAG
People will be happy if they have 2 km,CAG
"Please, do not miss the series ... It would be a shame to lose against this Australian team at home ...",NAG
Well said,NAG
India has become a leading country in the use of mobile data: Mukesh Ambani,NAG
Agreed.,NAG
"Where is Intolerance India Groups ... Where is all.khan ....
Amir khan muslim ... speaking Everyone thinks ...",OAG
¿Tweet hate you?,CAG
"Indian Express found Shirish Kunder with more recognizable personality for the first page news --- This is where the standard of the Indian Express has been reduced - Ah, I forgot the wife of Sitaram Yachur, is the resident editor of Indian Express - - Then it's okay",CAG
#ENTERTAINMENT | Karan Johar could have Justin Bieber to start the sixth season of #KoffeeWithKaran.,CAG
But that is hypothetical. BJP will never win.,CAG
"Mohit Soni, this is the brother of reality, please read carefully",NAG
"5 lakh for both (unbiased approach) regardless of the medal range, proud to be a footballer😐",NAG
Pakisthan has no guts to admit anything true ... liars,OAG
"I'm not a fellow aviator, but I think you're a fan of zee news nano chit in 2000 notes and let's not talk about intellect here because people who have low intellect judge people based on their choices",CAG
"---- The majority of the inhabitants of Kashmir are in favor of India but can not affirm it effectively to bring normalcy to Kashmir, therefore, by invitation I will go to Kashmir, where with all the pro-Indian Kashmirs (through the movement political) we will try to bring normalcy in Kashmir and also solve the problem of Kashmir as mentioned in: -

http://aapress.com/ethnicity/indian/another-opportunity-to-solve-kashmir-problem/ OR

http://www.alwihdainfo.com/Another-opportunity-to-solve-Kashmir-problem_a43528.html OR

http://www.pakistanchristianpost.com/letterdetails.php?letterid=790 OR

https://groups.yahoo.com/neo/groups/kashmir-global-network/conversations/messages/50215

regards

Email: hemraj_jain@yahoo.com",NAG
"But lynching was never part of the struggle for freedom, but how can the Chadians know that they were always shams of the British?",CAG
Sham on you,OAG
"Dear India, stop playing with the emotions of your people for the votes.",CAG
Why do not you compare the five worst riots after Independence and let us know where it faltered more than the Congress CMs of the other states affected by the riots?,NAG
"I remember that the Japanese fans did that during the last FIFA World Cup, now I wonder if Mizo's is a Japanese deceased during World War II in the famous Kohima battle between the British and the Japanese 😝😝😝
P.S. Wanted aim",NAG
When is the work completed in NH-8? Particluarly Hero Honda Chowk ??,NAG
Anna Hazare is an agent,CAG
Ask the khans to do it ... Any way you kill them when they're drunk ... And then start with being human,CAG
"You can be sure that the gunman was a white American (Christian and not Muslim), otherwise the owner would say ""Muslim"" and not ""drink beer"" as the first word. There would be more calls for the ""Muslim ban"" of Trump, that the world of laughter has not been able to implement, but will the great Orange One now demand a ""ban on drinking beer""?",CAG
"If you can not do any good for your country, at least support those who are trying to do something better for the country. Today everyone recognizes India only by Modi.",CAG
"And these are the people who promise not to ban beef in the Northeast, hypocrisy at its best.",OAG
"You should not take this guy seriously. After all, his only contribution is to produce three children.",OAG
"All Hindu Muslims are anti-Indian, they are only waiting to become the soon they will become majority people and they will seize India, and they will always sympathize with Pakistan and, on the outside, they show that they love India, all farce.",OAG
What the hell is going on 🤔,OAG
"man, what's up with you? people, copy and paste the same comment everywhere ... do not get tired ...",CAG
"Amma will always remain in our hearts
May his noble soul rest in peace.",NAG
I like it,NAG
According to Zee News 405 for seats for BJP in UP. The total constituency is 403. Two seats granted by Zee News without charge.,CAG
Irony is your image at one extreme. You are glad to see an innocent person die and on the other side you pray that you will not kill an innocent person.,CAG
What about the Tata engines ... There has been an overreaction ... What is your point of view?,NAG
Your army entered as a thief in our territory. Your army men are cowards. India made surgical attacks and informed his informed army.,OAG
Nobody can beat Modi now the people of Bihari could be sad because they did not choose to bjp jdu a burden for them,CAG
Anuj and Porinju believe that the markets will have a new record before the budget,NAG
The secular calls ruled the nation for 60 years and they did not even ban RSS ... hahaha,OAG
#feel my friend,OAG
This puppet came to the election of MCD #chutiya,CAG
"They get benefits because those areas are not getting used to. That's why starting roads will weaken them,",CAG
Are you from the university? Gaurav Seth PJ Anshu Mishra Shubham Singh,NAG
"It's okay. We lost a match, not the series. Losing and winning is part of the game, you can not always win all the games. You win something You lose a little",NAG
"Then they fired across the border and then entered to mutilate the corpses. I'm sorry, I do not buy this at all.",CAG
Do you see ingenious hitting all time maxima within this expiration?,NAG
"Yes sir. That, of course, will happen. When the cow becomes president, PM, CM, MP, MLA and human marauder on the road looking for food, dying after swallowing plastic.",CAG
"Let us accept the fact that we have a mini Pakistan here and many anti-Pakistani pro-national elements exist within the country. Which are being financed by enemy countries to weaken the integrity, peace and security of the nation with the help of few heavyweight traitors in politics. Whether in the northeast, Kashmir or Hyderabad, whenever a large part of the marginal elements for their short-term political or monetary gains prefer to destabilize the economy or national integrity after the support of external forces, solve the problem of Pakistan or China be a distant dream for Mr Modi and his partners. Unless the rotten fish are removed from the pond, we can not expect a clean system.",NAG
"Winning elections is not important, but is up to the expectations of citizens. In these days people vote blindly for religion, not for development
Frankly speaking, we need activists of all like-minded people who want to experience unbiased development. This group of activists should maintain a legal control over the POLITICIANS, the bureaucrats to see if they work properly and not waste public money. This is the only way to save our country from corrupt and religion-based politicians",OAG
"Guess what ... All this happens every day, right ...?",OAG
Congratulations!,NAG
"11,000 or 11 Lakh. In the end, the truth prevails and the truth is that Kejriwal meets! Period!!",NAG
"It is true that any good work is opposed by a group of vested interests. In fact, our political parties often support such elements in the search for vote banks. The aggressive activism of the media is also absent. Hello",CAG
"I would like to know about Welspun India, REC, Wockhardt, GATI and Metalyst",NAG
True,CAG
"Guys ... how long will we take this nussiance. Are we so weak that we can not give an adequate response, 😡😡😡😡",NAG
". However, the reserve is not a poverty alleviation scheme, it is there only for those social groups, historically that have been exploited, marginalized, have become weaker. Muslims wanted a window within the CBOs, says the Supreme Court, can create a sub-window within the CBOs, without violating the 50% barrier, but not on the basis of religion.",CAG
"the jokes are done very seriously, this is the Indian way of doing business: fear of uncertainty",NAG
"I am in favor of freedom of expression, but against the satirical freedom of expression of another young woman!",CAG
"If not, your image will deteriorate even more",OAG
We will see a new battle between the sons of Tata and the shapoorjees.,NAG
Men blame daily soaps for the violence of women against men,NAG
"And there was a time when we had Congress both in the state and in the center, 15 years in Assam and 10 years in the center, and most importantly, a prime minister nominated for Assam!",NAG
It should be paid by the police who kept the money. Or as RBI promised,CAG
"Yes, Antonio ... for us, God is inside us. Then all / all is a manifestation of God for the followers of the Sanatana Dharma.",NAG
our president has no history as modi that kills thousands of muslims in gujrat,OAG
Mouni slobber mouth open,CAG
"Anna, unfortunately, has lost all credibility. He has conveniently forgotten the Lokpal project. He is saffron under the skin. Kejriwal, on the other hand, transformed the face of Indian politics. The main parties have silently adopted everything he defended.",CAG
"1). The rule says that speakers should not be used between 10 p.m. and 6 a.m.

2) ""If Muslims have the right to give azaan, non-Muslims have the right to sleep peacefully."" Superior Court verdict",CAG
"If India can shoot innocent civilians, the mutilation of its soldiers is fully justified",OAG
"Mohammad Usman Get out of my country
The partition was based on the theory of two nations. Then ALL THE MUSLIMS SHOULD HAVE DONE TOWARD PAKISTAN.",OAG
I want to meet the girl who said that the iPhone is easy to use!,CAG
But it's a big decision and TATA needs to clear the air.,NAG
"Hi, sir, your opinions on just dialing after this rally will continue or the profit reserve",NAG
"You are the best of all ... 💞
Our Cutiepie ...
All the best 😊 for your movie 🎥 #PHILLAURI ... 💕",NAG
"please, advise on Bank nifty and how the NPA will benefit the PSU banks.",NAG
That will soon happen when China depends on Pakistan. Supporting Pakistan means the end of humanity,OAG
"I hope you get better soon. My wishes for you I understand, it does not make sense to waste my time to make you understand anything. All the best friend.",CAG
Correction made essy because the grade of 2000 is a large amount as a comparison to 500rs and 1000rs.,NAG
"Please, get out of this secular position, do something good for society",NAG
"In Mumbai, many high-level politicians will pray for their health",NAG
"So, what happens in the pantry car dedicated to restoration in all the espressos? Do we really get food, food from the image above when we travel on the Indian Railways? If yes, please let us know the name of the express ... the fact is that rail passengers get pathetic food on the Indian Railways ...",OAG
There are many people who are stupid and understand things,CAG
"Bhaiya sabse pahle ye hai kon ... mahangaayi badhi ke banwaas pr gaye hue el,
Keep in mind that the ban was stopped due to the fact that
Patrol and prices of groceries pr ye ye mr india ban gaye the k kahin dikhe hello nohe O you do not agree with the promotion of advertising b",CAG
"Congratulations Bmp and Modiji, please do something to develop India, except good speeches",CAG
Obviously I have not read about turning the other cheek. Funny type of Christian companion.,CAG
The elevation of Modi ji was also so sinister that some sick and undemocratic people declared that they would leave the country if they became prime minister! The same black forces are now chanting the same mantras unrelated to the fact that this is the 21st century and people can differentiate between chalk and cheese.,CAG
NDA governs the party 🎉 good governance 😝😝,CAG
What has bjp done in the last 10 years in DCM ... stop barking ... now he works,OAG
"Thanks for recognizing, I'm a Chelsea fan, so I'm happier than you are! :)",NAG
"Bhai this is not ordinary. Even Mira Rajput said that the feminism of the third wave is destructive.

And yes, the feminists of the mainstream are really bullies. They continue to riot and create turmoil. They hate freedom of expression, they hide facts, they project lies, etc. (I have evidence of all that, please counteract my point of view and not my data)",CAG
These were happening 24 × 7. But the administration was always in sleep mode.,CAG
Pm is lair means you have to hear and pray to God also lai,NAG
She has been so privileged all her life. But we have to work to fulfill our goals. We fail to make our decisions.,CAG
please comment on the rain industry regarding today's stellar result,NAG
Royal Enfield is an icon ... it is not possible to shake the image,NAG
The Bank of England is ready to infuse £ 250bn of additional funds into the economy to help map the economic crisis that is likely to be caused by Brexit.,NAG
The so-called #GauRakshaks ..... They claim that they are protecting 🐄 in d mother #Gaumata .... And they want #Gundaz to sell the mother in the market of ... # Export the mother to the other countries ... when she does not work for them ...... #Shame on dese #Bhakts ....,NAG
communal feelings at the peak in the so-called multicultural country,OAG
Pappu is on leave until the next election: D,OAG
"Dear Indian Express, I am sorry to write that your journalists are there to misinterpret events and present them in a distorted way just to make some sensationalist headlines. The news about the next singer Nahid Afreen have been prepared without proper investigation and investigation. It was very sad to see that your journalists do not even know the difference between fatwa and appeal. A fatwa is a non-binding legal opinion issued only by a qualified jurist (Mufti) at the request of someone who can not understand the religious guidelines, while the leaflet that is being distributed and presented as Fatwa is only a hard copy of a signed appeal by 46 men who believe in religious practices. The merit of the appeal can be discussed for many reasons and in many dimensions, but first of all, an appeal can not be called a legal opinion (Fatwa). We await an apology from you for such an error.",CAG
Sharukh travels in a gauge ... ... reporter of a steam engine can stop whistling for every steam during the news,CAG
Agreed..,NAG
"Hehehe, how can you suppose they care about your image? They (Pakistanis) are heading towards selling the entire nation to China on behalf of CPEC.",OAG
"Matt Ellis I would not believe anything of what Israel says, since Israel lies as its sugar Daddy America. He also claims to be a country that cares but when you look behind the curtain there is nothing but lies, Hate towards others and Death",OAG
The metals will gather for some time now,NAG
Ram NATH ji Goenka must feel ashamed of his successors ...,OAG
"Really Mr. Jack, then Plz reveals how much black money is destroyed, banks received about 99.8% of 1000, 500 notes in accounts, then, where is the black money?",NAG
You should be allowed to travel by freight train carrying beasts ... worth as much as they do. That luxary is more than enough for him (that!).,CAG
"Not surprised! Maybe you did not hear the news about the launch of the UP freshening service in UP recently. There is no ambulance service for the needy, but the focus is on the cow. Ridiculous!",OAG
"Haha, then 60 years without development, just loot! Well, accept now!",NAG
"The Pak army interfered in the Indian territory, killed Indian soldiers, laughed at a cup of tea with biscuits, mutilated their bodies and returned to their barracks, now tell me while all this was happening what the Indian border forces were doing watching me Khalifa and sunny Leone?",OAG
Heh Turkey is the pathetic third class country I know.,CAG
Do not you think you're going too far? Son of a B **** ........ # Nigam,OAG
BJP won 81 seats over 50 seats in 2012. This is not winning at all. The victory of .84 seats of Siva Sena is the winning brand according to this toilet paper,OAG
"♥ PYTHON ♥ BOT ♥ EQUIPO ♥

♪ ---- »TAYYAB-XD.TK« ---- ♪

♥ ♡ o. PROPIETARIO DE BOT 💢 TAYYAB KHAN 💢",NAG
Pakistan surgical attack and surgical attack through the media! Long live Modi's diplomacy! #SaveIndia,NAG
No,NAG
Digestion of food for livestock,CAG
Mr. Kunder corrects his facts. Show him he is a bully.,NAG
"The illiterate have begun to teach the people with the highest literacy rate now.
Do you know your literacy rate in the world among Muslims? It is only 0.27%.
Horrible..! The lowest literacy rate among all religions.",CAG
"Our honorable governor is the best, but someone does not ......",CAG
"For maintenance, bajaj will keep the bicycle and you will have to take it out of the workshop when you need it",NAG
Sitaram Yechury is a kind person of the Marxist lobby dominated by hardcore ideologues. As a member of the upper house he contributed very constructively.,CAG
you mean the investment made with the relationships and friends of the previous,NAG
We still support Modi sarkaar instead of Chor Congress ... Modi sarkaar is much better and stronger than Chor Congress ...,OAG
"If it is going to be banned, it should also be banned for all other religions.",CAG
Jio effect. It's like Modi {Jio} and everything rests.,NAG
You can not escape the sin of promoting this useless,OAG
ex pm was talking jst wt has to speak as an opponent in member.other than ntng,NAG
"Sanghi is the only person who has to go to Delhi to go to the DCM election. I have decided to join Lokpal and the crusader of corruption, who is my wife and I do not know what to do.",CAG
"This is the time to invest in banking stocks, especially SBI & Icici?",NAG
Who cares what she eats ... Even she eats poo we do not care,CAG
"If I live in the country where the mafia behaves in this way and I have a license to kill, then I feel ashamed ... for your logic ... .taliban is also right in condemning people to death ...",NAG
#LaughAtDeath time. Have you tried it yet?,NAG
"Time comes to close JNU by the government.
Why this type of Institute is managed by wasting our tax dollars.
If the JNU students have guts, please earn a little money and then pay their fees.
Why the taxpayer's money is wasted.
SHAMEFUL",OAG
4 people died and the Indian express finds humor in it ... rapid journalism ...,CAG
Lol Indian army 🐶pig army ja world 4 bigger and 4 times greater can not fight with Pakistan 😂😂,OAG
Modi scored 500-1000 notes. So your next step should be the band's congress party,CAG
"Transform and reinvent sustainable India. In addition, rebuild the credibility of the central Hindu value of living and letting live with mutual respect for all.",NAG
"The Kashmiris are not against the people of India, but against the Indian occupation",NAG
What does the word cost mean? Do you take into account the external debt? Do you consider human wealth?,CAG
Cnbc tv 18 knocked out the competition in BUDGET congrats,NAG
Fcuk Fuera de Shikha Sharma,OAG
"Mr. Narang, it's only a matter of time, I'm not stupid enough to believe that governments work to improve the masses ... you need to read carefully The Prince of Niccolo or the Republic of Plato. I am sure that once this government completes its term in the office, we will have bigger scams to quote ... And that is what Dr. Manmohan Singh talks about ...",CAG
I hope the occupants of the car are safe and undamaged.,NAG
"Hello, what will Sun Pharma be in the short and long term?",NAG
Tit for tat in the same way .... modi request u to take action as soon as possible ...,NAG
For what reason? If you,CAG
"Nothing new in that. The Indians only gossip, take measures instead of spreading faults",CAG
"It remains to be seen how INC (UP-UTTARAKHAND-MANIPUR) will attract high-tech voters against the INC FIRST TIME, as the spikes in the recent UP survey point to the massive participation of this section in the survey. On the other hand, MANN KI BATE points directly to this section relentlessly.",NAG
I want to update from my 180 CC to 400CC,NAG
tech mahindra down nd other it stock up como tcs infy wipro ..,NAG
she's just doing a cheap publicity stunt. Maybe she wants to be a great boss.,OAG
It's like Duke 390 why they took so long to launch it. Just give a name and change the look and reduce the price?,NAG
No respect for him now,NAG
Sehwag your comments did not make any sense at all. You should not have done the stupid comparison. There is a big difference between a cricketer and a martyr.,CAG
"I bought One Plus 2 about two months ago. Two days ago I left it and broke the whole screen. Although it is working well.
But I can not repair it due to the lack of availability of the service center in Jammu and Kashmir ...
It's frustrating",CAG
"That is what happens when you can not discern between a military activity and an act of barbarism.

Remember the NLI, bodies whose soldiers refused to recognize during the kargil conflict.

Therefore, keep your knowledge for yourself and live in your own fantasy land.",OAG
The cows will definitely vote for Modi ji in 2019;),CAG
"The Congress is with the whole nation, I am safe from the name of .................................... ............. 3. Party of India CPI .....",OAG
Why I'm not surprised. Another dictatorship begins to form,CAG
A true legend ... simply unmatched ... congratulations to the best philanthropist ...,NAG
Stupid survey 👎👎👎,OAG
Anna Hazard is a rookie now. Your voice has no value.,CAG
Isro copied the technology of my face book --- as simple as that,NAG
"Well, Kuwait is an American colony, right?",NAG
This time its publication is much more positive than the previous one. Sir @udayan mukherjee: D,NAG
We already have enough support. Turkey is not our ally anymore as a traitor and has come to solve the problem of Kashmir lol,CAG
"I support your speech, RSS is the divisor of the country, you do not want to keep the peace in India. communal",OAG
"Perfect example of ""Vridha asharam"", when people can see and repeat the words they heard early in the morning ""The Indian media are using AANA JI to take only negative or negative comments, either for BJP or AAP ... but they would say POOR PERFORMANCE",CAG
This would be the first time in the history of the Nobel Prize that the name of a bitch is proposed along with HUMANS ...!,OAG
"Do you have any doubt? Why was he holding some pistols and ammunition, etc.? If he is not when the police stopped him, why was he holding and shooting the police?",CAG
"Of course, nothing can be done in Pakistan except to train the militants. It was well known by the Chinkis and they took advantage of it by colonizing in Pakistan looting their reserves through cpec.",OAG
"Do you name any minister or MLA / MP whose child is working in ARMY / BSF / CRPF or has sacrificed their lives for the nation while serving on the border?
2. Name any minister or MLA / MP whose children go to government schools?
3. Name any minister or MLA / MP whose family is treated in common public hospitals and not in large private hospitals?
4. Name any minister or MLA / MP whose children do not own large cars / luxury homes Rs?
5. Name any minister or MLA / MP whose family has not visited abroad with taxpayer money?
6. Name any minister or MLA / MP whose family does not stay in 5-star hotels when visiting other states within the country.
7. Appoint any minister or MLA / MP whose family has not been able to obtain a train or plane ticket even one hour before.
There is a great list of that type. They can make us fools by saying that all people are equal, but reality is what we all know and experience.",NAG
"Bt massive victory?
Seriously?",CAG
"Now this idiot realizes the truth after being a slave to a rule of the single family, which destroyed our nation all these years !!!!!!!!!!!!!!!!!",OAG
"Hello Anuj, can I see your opinion about Balkrishan Industries and Sun Pharma?",NAG
"Mr. Macchiwala, I spoke to Muslims in Gujrat and they were grateful to him because he saved their lives. I do not know where you get this idea that Modi is responsible for riots.",CAG
"Sir, it has opened the doors of competition in the telecommunications market ... May God bless you ...",NAG
The government must worry more about the Army than about RSS. Otherwise it will be RSS vs Indian Army?,CAG
Is Kassab really hanged and died a natural death from dengue? We have doubts and the government should publish evidence on video to prove that Kassab was actually hanged.,NAG
First of all finish the so-called intellectuals who are supporting the anti-national,NAG
"Please do not change, you need kujliwal for BJP like Rahul Gandi",NAG
"It's already 2 p.m., but the program is not yet aired.",NAG
Why is Linux free and virus proof? Why is Microsoft Windows so expensive? Why is not it virus proof? Why do all PC manufacturers prefer Microsoft Windows over Linux?,NAG
Tow terrorst killd in bouder ... Indian army is a terror mafia,CAG
"I have a question for you, sir. Can you please name the temple, please, what pandits of Kashmiri chant bhajans?",CAG
"You are great, there is no doubt that we are with you",NAG
"Also according to their feminists who are ""aggressive"" they are comparable to the Nazis. Does she even know who the Nazis were and what happened during the Holocaust? Is she really comparing ""aggressive feminism"" with genocide?",OAG
Pakistan is sending corpses to India ..: D as yesterday's attack,NAG
"Invested in technology to secure transactions, differentiate the bank from other players: Shikha Sharma",NAG
"At the graduation there is a sub. Of political science. If you think that this opinion poll of pist plays a very important role in terms of propaganda, to put people in mind.",NAG
"And look 24/7, and do not look anything else",CAG
disparate,OAG
"The revenue projections must be owned by the minister, regardless of the projections that the industry gives. That is the only perspective. I should think about the construction of scenarios and contingencies in the case projections. That is the commercial perspective. He has to go beyond glorifying himself and only appropriating his budgets",NAG
"The country that has an illiterate PM as modi what people can expect from him
People are dying in India without home or food, but they are busy making an adhaar card for animals
It's really a shameful situation for 125 Indian Crore",OAG
"Anna, do not you see the corruption of the BJP and the Congress that is happening in the last 60 years?",CAG
Could you ask Vishal about his views on automation and artificial intelligence on how to rescue people?,NAG
"The government of Mah is in the loss of 25-30% of the annual income, in addition to this will increase unemployment, are planning to attack in a few km of road area under the concerned municipal department, the bars and shops in Mumbai are already working. Everyone knows that the government literally goes bankrupt without this industry, such is the income from it",NAG
"Vishnu Sreevalsan on Mother's Day you can greet them.
""I hope your mother stays delicious on Mother's Day.""",CAG
"#ENTERTAINMENT | After #NiaSharma was embarrassed for publishing a music video, the actor had the perfect answer: he posted a second video!",OAG
Call the air force and bomb the hell to dantewada,CAG
Crocodile tears.,CAG
"It takes quite some time for the mkts to consolidate. If you want cash immediately, marry someone in the Q and take advantage of Rs. 2.5 lakhs in cash. Do not forget to invite Bank Branch Manager for the wedding to enable confirmation!",NAG
"Friends ... Stop giving such importance to these fools ... Chachunder, just ...",OAG
How is it that the entire script mentioned in cnbc 20/20 never does?,NAG
"""JAMMU AND KASHMIR STATE NEED BUSINESS CORRIDOR""

Now the people of the state of J & K are excited and the infiltrators disoriented them. For 10 days I received thousands of responses received from people from the state of J & K and some people from Pakistan, which was where I wrote the thesis, regarding intolerance in the state j & k.

Here some people depend on terrorist and MILITENT organizations in Pakistan and other anti national elements. Now people are making a rain of stones in the Army and the Police and they raised slogans in favor of the Anti National attitude and wearing ISIS suits and with Pakistan flags.

J & K State students need to get admissions in South India Collages because there is no mutual understanding and interaction between j & k state and South states, in my verdict this is the great salvation for intolerance.

Needs marriage proposals between the south and the north with j & k state people.

J & K State Suffers from Lober Facts and implementations because there is no road map for life to survive with good opportunities This is the main problem at J & K State that is why teens follow an illegal Law.

You need Industrial Hub in the state of J & K to get better profits.

I ask the MODI Ji Prime Minister to bring the new reforms for the j & k state for a better future for our citizens ... Jai Hind

S V P YADAV
Journalist
+918019563514",CAG
It must be stopped,OAG
Yes,NAG
Now they will become the bicycle ... I know ... Human transformers!,CAG
"Lord, continue! India now understands who are fake",CAG
